patients.address_found,patients.city_found,patients.common_name,patients.county_found,patients.found_at,patients.disposition,patients.keywords,admissions.id,admissions.case_year,people.postal_code
Pomponesset Spit,New Seabury,Northern Gannet,Barnstable County,5/4/2019,Died +24hr,Behavioral Stranding,239,2019,
19 Tracy Lane,Brewster,Eastern Cottontail,Barnstable County,5/4/2019,Euthanized in 24hr,Orphan,240,2019,
Deer Crossing / Mashpee Commons,Mashpee,Eastern Gray Squirrel,Barnstable County,5/4/2019,Died in 24hr,Orphan,241,2019,2649
Unknown,Carver,Eastern Gray Squirrel,Plymouth County,4/20/2019,Released,Orphan,243,2019,
Unknown,Carver,Eastern Gray Squirrel,Plymouth County,6/4/2019,Released,Orphan,244,2019,
66 Lecount Hollow Road,Wellfleet,Eastern Gray Squirrel,Barnstable County,5/4/2019,Released,"Orphan, Parent Known Dead",245,2019,
6 Wendy's Way,Harwich,Eastern Gray Squirrel,Barnstable County,5/4/2019,Died +24hr,Collision - Vehicle,246,2019,2635
Herringbrook Lane @ Old Farm Lane,North Eastham,Eastern Cottontail,Barnstable County,5/4/2019,Released,Collision - Vehicle,247,2019,2651
Long Pond Road,Harwich,Eastern Cottontail,Barnstable County,5/4/2019,Released,Collision - Vehicle,248,2019,2675
Owl Pond Road,Brewster,Eastern Cottontail,Barnstable County,5/4/2019,Euthanized in 24hr,Disease,249,2019,2631
66 Lecount Hollow Road,Wellfleet,Eastern Gray Squirrel,Barnstable County,6/4/2019,Released,"Orphan, Parent Known Dead",250,2019,2663
66 Lecount Hollow Road,Wellfleet,Eastern Gray Squirrel,Barnstable County,6/4/2019,Released,"Orphan, Parent Known Dead",251,2019,2663
999 US Route 6  Southfleet Motor Inn,Wellfleet,Southern Flying Squirrel,Barnstable County,5/6/2019,Released,Nest/Habitat Disturbed,252,2019,2663
20 Villages Drive  Ocean Edge Resort,Brewster,Wild Turkey,Barnstable County,5/6/2019,Died in 24hr,,253,2019,2645
2 Sea Pine Road,North Chatham,Eastern Cottontail,Barnstable County,5/6/2019,Euthanized in 24hr,Animal Interaction - Cat,254,2019,2633
79 Freeman's Way,Brewster,Eastern Cottontail,Barnstable County,5/7/2019,Euthanized in 24hr,Animal Interaction - Cat,255,2019,2633
43 Bow Road,Eastham,Eastern Gray Squirrel,Barnstable County,5/7/2019,Euthanized in 24hr,Animal Interaction - Dog,256,2019,2642
Unknown,Unknown,Eastern Gray Squirrel,,6/4/2019,Dead on arrival,Poison,257,2019,
Unknown,Unknown,Northern Cardinal,,5/8/2019,Dead on arrival,,258,2019,
Bike path near Doane Rock,Eastham,Red Squirrel,Barnstable County,5/8/2019,Released,Orphan,259,2019,
Bike path near Doane Rock,Eastham,Red Squirrel,Barnstable County,5/8/2019,Released,Orphan,260,2019,
Bike path near Doane Rock,Eastham,Red Squirrel,Barnstable County,5/8/2019,Released,Orphan,261,2019,
30 Lookout Road,Wellfleet,Northern Gannet,Barnstable County,5/8/2019,Died in 24hr,Behavioral Stranding,262,2019,
850 Massasoit Road,Eastham,Eastern Cottontail,Barnstable County,5/9/2019,Died +24hr,Animal Interaction - Cat,263,2019,2642
Cottage Street,Orleans,Eastern Gray Squirrel,Barnstable County,5/9/2019,Euthanized in 24hr,Projectile,264,2019,
32 Victoria Drive,Chatham,Mourning Dove,Barnstable County,5/9/2019,Released,Orphan,265,2019,2633
183 Govenor Bradford Road,Brewster,Ruby-throated Hummingbird,Barnstable County,5/11/2019,Euthanized in 24hr,Behavioral Stranding,266,2019,
West Chatham Post Office,West Chatham,Black-throated Green Warbler,Barnstable County,5/11/2019,Dead on arrival,Collision - Window,267,2019,2669
Middle Road,West Chatham,Herring Gull,Barnstable County,5/11/2019,Died +24hr,Projectile,268,2019,2659
Seaview Avenue,Chatham,Gray Catbird,Barnstable County,5/11/2019,Euthanized +24hr,Collision - Vehicle,269,2019,2633
16 Plashes Drive,Dennisport,Eastern Cottontail,Barnstable County,5/11/2019,Euthanized in 24hr,Animal Interaction - Dog,270,2019,
16 Plashes Drive,Dennisport,Eastern Cottontail,Barnstable County,5/11/2019,Euthanized in 24hr,Animal Interaction - Dog,271,2019,
297 Sea Street,Dennisport,Eastern Cottontail,Barnstable County,5/11/2019,Euthanized in 24hr,Injured,272,2019,2639
Herring Cove Beach,Provincetown,Red-breasted Merganser,Barnstable County,5/11/2019,Died +24hr,Behavioral Stranding,273,2019,2476
184 South Sea Avenue  #20,Yarmouth,Virginia Opossum,Barnstable County,5/12/2019,Euthanized in 24hr,Collision - Vehicle,274,2019,2601
175 Tonset Road,Orleans,Wild Turkey,Barnstable County,5/12/2019,Euthanized in 24hr,Collision - Vehicle,275,2019,
26 Daley Terrace,Orleans,Eastern Cottontail,Barnstable County,5/12/2019,Died in 24hr,Animal Interaction - Dog,276,2019,
Route 6 near drive-in theatre,Wellfleet,Wild Turkey,Barnstable County,5/13/2019,Died in 24hr,Collision - Vehicle,277,2019,
Unknown,Dennis,Eastern Screech Owl,,5/17/2019,Released,Nest/Habitat Disturbed,278,2019,
Main Street Market,Harwich,House Sparrow,Barnstable County,5/17/2019,Released,"Animal Interaction - Blue jay,  Orphan",279,2019,2645
82 Aunt Moll's Ridge Road,Brewster,American Robin,Barnstable County,5/18/2019,Died +24hr,Egg,280,2019,
3844 Main Street,Brewster,Unidentified Bird,Barnstable County,5/26/2019,Released,Nest/Habitat Disturbed,281,2019,
1210B Main Street,Dennis,American Robin,Barnstable County,5/26/2019,Died +24hr,Entrapment - Glue Trap,282,2019,
65 Pamet Road,Yarmouth,Eastern Cottontail,Barnstable County,5/28/2019,Transferred,"Animal Interaction, Nest/habitat Disturbed",283,2019,2673
175 Stage Island Road,Chatham,Eastern Cottontail,Barnstable County,5/28/2019,Died in 24hr,Injured,284,2019,2633
Windjammer Road,Eastham,Raccoon,Barnstable County,5/29/2019,Transferred,,285,2019,2642
5 Seavers Road,Orleans,Mourning Dove,Barnstable County,5/29/2019,Died +24hr,Injured,286,2019,2653
Point of Rocks Road,Brewster,Common Loon,Barnstable County,5/29/2019,Dead on arrival,"Projectile, Injured",287,2019,
18 Fredericksburg Avenue,Harwich,Eastern Cottontail,Barnstable County,5/29/2019,Died +24hr,Animal Interaction - Cat,288,2019,2645
571 Route 6A,Yarmouthport,Great Horned Owl,Barnstable County,3/18/2019,Transferred,Inappropriate Human Possession,289,2019,2675
571 Route 6A,Yarmouthport,Red-tailed Hawk,Barnstable County,3/18/2019,Transferred,Inappropriate Human Possession,290,2019,2675
Unknown,Brewster,Eastern Gray Squirrel,Barnstable County,3/18/2019,Released,"Nest/Habitat Disturbed, Orphan",291,2019,
Unknown,Brewster,Eastern Gray Squirrel,Barnstable County,3/18/2019,Released,"Nest/Habitat Disturbed, Orphan",292,2019,
Unknown,Brewster,Eastern Gray Squirrel,Barnstable County,3/18/2019,Released,"Nest/Habitat Disturbed, Orphan",293,2019,
Unknown,Brewster,Eastern Gray Squirrel,Barnstable County,3/18/2019,Released,"Nest/Habitat Disturbed, Orphan",294,2019,
Thad Ellis Road,Brewster,Eastern Gray Squirrel,Barnstable County,3/24/2019,Released,Orphan,295,2019,
Thad Ellis Road,Brewster,Eastern Gray Squirrel,Barnstable County,3/24/2019,Released,Orphan,296,2019,
Unknown,Harwich,Eastern Gray Squirrel,Barnstable County,4/12/2019,Released,Orphan,297,2019,
Winter Street,Hyannis,Eastern Gray Squirrel,Barnstable County,4/12/2019,Released,Orphan,298,2019,2631
Route 39 @ McGuerty Road,Harwich,Eastern Gray Squirrel,Barnstable County,4/15/2019,Died +24hr,Orphan,299,2019,2645
36 West Road,Orleans,Mourning Dove,Barnstable County,4/23/2019,Released,Animal Interaction - Cat,300,2019,2653
447 Main Street,Chatham,Mourning Dove,Barnstable County,4/23/2019,Released,"Orphan, Fell from nest",301,2019,2645
Church Street,Eastham,Mourning Dove,Barnstable County,5/4/2019,Released,Animal Interaction - Cat,302,2019,2651
3 Cook Street,Provincetown,House Finch,Barnstable County,5/9/2019,Died +24hr,"Animal Interaction - Cat, Orphaned",303,2019,2657
21 Ocean Avenue,Harwichport,Virginia Opossum,Barnstable County,5/11/2019,Released,Orphaned,304,2019,
Pine Point Road,Wellfleet,Baltimore Oriole,Barnstable County,5/11/2019,Released,Collision - Vehicle,305,2019,2864
Unknown,Brewster,Baltimore Oriole,Barnstable County,5/12/2019,Released,Collision - Vehicle,306,2019,2653
110 Amos Landing,Mashpee,Eastern Screech Owl,Barnstable County,5/13/2019,Released,Collision - Vehicle,307,2019,
9 Chickadee Lane,East Harwich,Eastern Cottontail,Barnstable County,5/14/2019,Transferred,Animal Interaction - Dog,308,2019,02645A
9 Chickadee Lane,East Harwich,Eastern Cottontail,Barnstable County,5/14/2019,Transferred,Animal Interaction - Dog,309,2019,02645A
9 Chickadee Lane,East Harwich,Eastern Cottontail,Barnstable County,5/14/2019,Transferred,Animal Interaction - Dog,310,2019,02645A
Captain's Golf Course  (1st tee),Brewster,Great Horned Owl,Barnstable County,5/14/2019,Euthanized +24hr,Behavioral Stranding,311,2019,
120 Luthers Lane,Eastham,Red-tailed Hawk,Barnstable County,5/14/2019,Released,Poisoning?,312,2019,
3299 Main Street,Brewster,Eastern Cottontail,Barnstable County,5/14/2019,Euthanized in 24hr,,313,2019,
65 Pine Hill Drive,Brewster,Red Squirrel,Barnstable County,5/15/2019,Euthanized +24hr,Orphan,314,2019,2631
65 Pine Hill Drive,Brewster,Red Squirrel,Barnstable County,5/15/2019,Released,Orphan,315,2019,2631
65 Pine Hill Drive,Brewster,Red Squirrel,Barnstable County,5/15/2019,Released,Orphan,316,2019,2631
110 Longview Road,Orleans,Eastern Cottontail,Barnstable County,5/16/2019,Dead on arrival,,317,2019,
73 Earle's Road,Harwich,Eastern Gray Squirrel,Barnstable County,3/30/2019,Released,"Orphan, Fell from Nest",319,2019,1602
25 Thistle Drive,Centerville,Eastern Gray Squirrel,Barnstable County,4/12/2019,Released,Orphan,320,2019,2630
No address given.,Harwich,Eastern Gray Squirrel,Barnstable County,4/7/2019,Released,"Orphan, Fell from Nest",321,2019,2633
52 White's Path  Granite City Electric,West Yarmouth,Eastern Gray Squirrel,Barnstable County,4/6/2019,Released,"Orphan, Fell from Nest",322,2019,
15 Cutter Lane,West Yarmouth,Eastern Cottontail,Barnstable County,4/16/2019,Dead on arrival,Animal Interaction - Dog,323,2019,2660
15 Cutter Lane,West Yarmouth,Eastern Cottontail,Barnstable County,4/16/2019,Transferred,Animal Interaction - Dog,324,2019,2660
15 Cutter Lane,West Yarmouth,Eastern Cottontail,Barnstable County,4/16/2019,Transferred,Animal Interaction - Dog,325,2019,2660
473 Queen Anne Road,Harwich,Eastern Gray Squirrel,Barnstable County,4/6/2019,Released,"Orphan, Fell from Nest, Disease",326,2019,
54 Lyman Lane,South Yarmouth,Eastern Gray Squirrel,Barnstable County,4/17/2019,Released,"Orphan, Parent Known Dead",327,2019,
54 Lyman Lane,South Yarmouth,Eastern Gray Squirrel,Barnstable County,4/18/2019,Released,"Orphan, Parent Known Dead",328,2019,
54 Lyman Lane,South Yarmouth,Eastern Gray Squirrel,Barnstable County,4/18/2019,Released,"Orphan, Parent Known Dead",329,2019,
35 Schoolhouse Road,Eastham,Eastern Cottontail,Barnstable County,4/19/2019,Transferred,"Animal Interaction - Cat, Orphan",330,2019,2642
720 Brackett Road,North Eastham,Eastern Cottontail,Barnstable County,4/19/2019,Transferred,"Orphan, Animal Interaction - Ants",331,2019,2651
720 Brackett Road,North Eastham,Eastern Cottontail,Barnstable County,4/19/2019,Transferred,"Orphan, Animal Interaction - Ants",332,2019,2651
720 Brackett Road,North Eastham,Eastern Cottontail,Barnstable County,7/3/2019,Transferred,"Orphan, Animal Interaction - Ants",333,2019,2651
Road that leads to Coast Guard Beach,Truro,Eastern Gray Squirrel,Barnstable County,4/19/2019,Released,Orphan,334,2019,2666
20 Quail Hill Road,Truro,Eastern Cottontail,Barnstable County,4/19/2019,Transferred,Orphan,335,2019,2653
20 Quail Hill Road,Truro,Eastern Cottontail,Barnstable County,7/3/2019,Transferred,Orphan,336,2019,2653
20 Quail Hill Road,Truro,Eastern Cottontail,Barnstable County,4/19/2019,Transferred,Orphan,337,2019,2653
20 Quail Hill Road,Truro,Eastern Cottontail,Barnstable County,4/19/2019,Transferred,Orphan,338,2019,2653
20 Quail Hill Road,Truro,Eastern Cottontail,Barnstable County,4/19/2019,Transferred,Orphan,339,2019,2653
63 W. Eagle Cartway,Brewster,Eastern Gray Squirrel,Barnstable County,4/20/2019,Released,Orphan,340,2019,2631
227 Chatham Road,Harwich,Eastern Gray Squirrel,Barnstable County,4/20/2019,Released,Orphan,341,2019,2645
33 Holly Ridge Drive,Sandwich,Eastern Cottontail,Barnstable County,4/23/2019,Transferred,Animal Interaction,342,2019,
Unknown,West Yarmouth,Eastern Gray Squirrel,Barnstable County,4/24/2019,Released,Orphan,343,2019,
210 Paine's Creek Road,Brewster,Eastern Cottontail,Barnstable County,4/25/2019,Transferred,"Orphan, Parent Known Dead",344,2019,
210 Paine's Creek Road,Brewster,Eastern Cottontail,Barnstable County,4/25/2019,Transferred,"Orphan, Parent Known Dead",345,2019,
210 Paine's Creek Road,Brewster,Eastern Cottontail,Barnstable County,4/25/2019,Transferred,"Orphan, Parent Known Dead",346,2019,
210 Paine's Creek Road,Brewster,Eastern Cottontail,Barnstable County,4/25/2019,Transferred,"Orphan, Parent Known Dead",347,2019,
210 Paine's Creek Road,Brewster,Eastern Cottontail,Barnstable County,4/25/2019,Transferred,"Orphan, Parent Known Dead",348,2019,
210 Paine's Creek Road,Brewster,Eastern Cottontail,Barnstable County,4/25/2019,Transferred,"Orphan, Parent Known Dead",349,2019,
No address given,None,Eastern Cottontail,,4/27/2019,Transferred,Animal Interaction - Dog,350,2019,
No address given,None,Eastern Cottontail,,4/27/2019,Transferred,Animal Interaction - Dog,351,2019,
No address given,None,Eastern Cottontail,,4/27/2019,Transferred,Animal Interaction - Dog,352,2019,
No address given,None,Eastern Cottontail,,4/27/2019,Transferred,Animal Interaction - Dog,353,2019,
No address given,None,Eastern Cottontail,,4/27/2019,Transferred,Animal Interaction - Dog,354,2019,
220 Aaron Rich Road,South Wellfleet,Eastern Cottontail,Barnstable County,4/25/2019,Transferred,Animal Interaction - Cat,355,2019,
Rock Harbor Road,Orleans,Eastern Gray Squirrel,Barnstable County,4/28/2019,Released,Orphan,356,2019,
108 Uncle Venies Road,Harwich,Eastern Cottontail,Barnstable County,4/29/2019,Transferred,"Animal Interaction - Dog, Nest/Habitat Disturbed, Orphan",357,2019,2645
108 Uncle Venies Road,Harwich,Eastern Cottontail,Barnstable County,4/29/2019,Transferred,"Animal Interaction - Dog, Nest/Habitat Disturbed, Orphan",358,2019,2645
108 Uncle Venies Road,Harwich,Eastern Cottontail,Barnstable County,4/29/2019,Transferred,"Animal Interaction - Dog, Nest/Habitat Disturbed, Orphan",359,2019,2645
108 Uncle Venies Road,Harwich,Eastern Cottontail,Barnstable County,4/29/2019,Transferred,"Animal Interaction - Dog, Nest/Habitat Disturbed, Orphan",360,2019,2645
108 Uncle Venies Road,Harwich,Eastern Cottontail,Barnstable County,4/29/2019,Transferred,"Animal Interaction - Dog, Nest/Habitat Disturbed, Orphan",361,2019,2645
108 Uncle Venies Road,Harwich,Eastern Cottontail,Barnstable County,4/29/2019,Transferred,"Animal Interaction - Dog, Nest/Habitat Disturbed, Orphan",362,2019,2645
24 Pond Road,Orleans,Eastern Cottontail,Barnstable County,5/1/2019,Transferred,Animal Interaction - Cat,363,2019,2653
Land Ho Restaurant,Orleans,Eastern Cottontail,Barnstable County,5/1/2019,Transferred,"Nest/Habitat Disturbed, Orphan",364,2019,2653
Land Ho Restaurant,Orleans,Eastern Cottontail,Barnstable County,5/1/2019,Transferred,"Nest/Habitat Disturbed, Orphan",365,2019,2653
Land Ho Restaurant,Orleans,Eastern Cottontail,Barnstable County,5/1/2019,Transferred,"Nest/Habitat Disturbed, Orphan",366,2019,2653
Land Ho Restaurant,Orleans,Eastern Cottontail,Barnstable County,5/1/2019,Transferred,"Nest/Habitat Disturbed, Orphan",367,2019,2653
Land Ho Restaurant,Orleans,Eastern Cottontail,Barnstable County,5/1/2019,Transferred,"Nest/Habitat Disturbed, Orphan",368,2019,2653
White Rock Road,Yarmouth Port,House Finch,Barnstable County,5/9/2019,Released,Orphan,369,2019,2675
White Rock Road,Yarmouth Port,House Finch,Barnstable County,5/9/2019,Released,Orphan,370,2019,2675
White Rock Road,Yarmouth Port,House Finch,Barnstable County,5/9/2019,Released,Orphan,371,2019,2675
White Rock Road,Yarmouth Port,House Finch,Barnstable County,5/9/2019,Released,Orphan,372,2019,2675
The Channel Way,Brewster,Eastern Cottontail,Barnstable County,5/10/2019,Transferred,"Nest/Habitat Disturbed, Orphaned",373,2019,2631
The Channel Way,Brewster,Eastern Cottontail,Barnstable County,5/10/2019,Transferred,"Nest/Habitat Disturbed, Orphaned",374,2019,2631
The Channel Way,Brewster,Eastern Cottontail,Barnstable County,5/10/2019,Transferred,"Nest/Habitat Disturbed, Orphaned",375,2019,2631
The Channel Way,Brewster,Eastern Cottontail,Barnstable County,5/10/2019,Transferred,"Nest/Habitat Disturbed, Orphaned",376,2019,2631
The Channel Way,Brewster,Eastern Cottontail,Barnstable County,5/10/2019,Transferred,"Nest/Habitat Disturbed, Orphaned",377,2019,2631
33 Country Circle,Dennis,Eastern Cottontail,Barnstable County,5/11/2019,Transferred,"Nest/Habitat Disturbed, Orphaned",378,2019,2630
33 Country Circle,Dennis,Eastern Cottontail,Barnstable County,5/11/2019,Transferred,"Nest/Habitat Disturbed, Orphaned",379,2019,2630
Wampanoag Trail,Dennis,Song Sparrow,Barnstable County,5/13/2019,Died +24hr,Nest/Habitat Disturbed,380,2019,2630
Wampanoag Trail,Dennis,Song Sparrow,Barnstable County,5/13/2019,Released,Nest/Habitat Disturbed,381,2019,2630
Wampanoag Trail,Dennis,Song Sparrow,Barnstable County,5/13/2019,Released,Nest/Habitat Disturbed,382,2019,2630
Dunkin Donuts,Yarmouth,American Robin,Barnstable County,5/14/2019,Released,Animal Interaction - Crow,383,2019,2653
2 John Avellar Circle,Orleans,White-footed Mouse,Barnstable County,5/14/2019,Died in 24hr,Nest/Habitat Disturbed,384,2019,
2 John Avellar Circle,Orleans,White-footed Mouse,Barnstable County,5/14/2019,Released,Nest/Habitat Disturbed,385,2019,
2 John Avellar Circle,Orleans,White-footed Mouse,Barnstable County,5/14/2019,Released,Nest/Habitat Disturbed,386,2019,
193 Barcliff Avenue,Chatham,Eastern Cottontail,Barnstable County,5/15/2019,Transferred,"Animal Interaction - Dog, Orphan",387,2019,2633
193 Barcliff Avenue,Chatham,Eastern Cottontail,Barnstable County,5/15/2019,Transferred,"Animal Interaction - Dog, Orphan",388,2019,
193 Barcliff Avenue,Chatham,Eastern Cottontail,Barnstable County,5/15/2019,Transferred,"Animal Interaction - Dog, Orphan",389,2019,
193 Barcliff Avenue,Chatham,Eastern Cottontail,Barnstable County,5/15/2019,Transferred,"Animal Interaction - Dog, Orphan",390,2019,2633
193 Barcliff Avenue,Chatham,Eastern Cottontail,Barnstable County,5/15/2019,Transferred,"Animal Interaction - Dog, Orphan",391,2019,2633
193 Barcliff Avenue,Chatham,Eastern Cottontail,Barnstable County,5/15/2019,Transferred,"Animal Interaction - Dog, Orphan",392,2019,2633
125 Daniels,Wellfleet,Eastern Cottontail,Barnstable County,5/15/2019,Transferred,"Animal Interaction - Cat, Orphan",393,2019,
No address given,East Dennis,Brown-headed Cowbird,Barnstable County,5/20/2019,Released,Nest/Habitat Disturbed,394,2019,
No address given,East Dennis,Brown-headed Cowbird,Barnstable County,5/20/2019,Released,Nest/Habitat Disturbed,395,2019,
8 Gile Road,Eastham,Black-capped Chickadee,Barnstable County,5/30/2019,Died +24hr,"Nest/Habitat Disturbed, Orphan",396,2019,
8 Gile Road,Eastham,Black-capped Chickadee,Barnstable County,5/30/2019,Died +24hr,"Nest/Habitat Disturbed, Orphan",397,2019,
8 Gile Road,Eastham,Black-capped Chickadee,Barnstable County,5/30/2019,Died +24hr,"Nest/Habitat Disturbed, Orphan",398,2019,
